# Atmosfera fiducial do Cerro Pachon, massa de ar 1.2, com aerossois
# Rubin Observatory throughputs, release 1.9
# Source: https://github.com/lsst/throughputs/blob/main/baseline/atmos_std.dat
# Modelo MODTRAN da atmosfera do sítio Rubin.
# Valores reamostrados em passos de 1 nm.
# wavelength_nm,throughput
930.0,0.797049866
931.0,0.731947377
932.0,0.627958024
933.0,0.608535074
934.0,0.521061792
935.0,0.575518481
936.0,0.575535842
937.0,0.570692076
938.0,0.612515856
939.0,0.710734146
940.0,0.786595242
941.0,0.736057318
942.0,0.757471239
943.0,0.632055119
944.0,0.638880814
945.0,0.687522226
946.0,0.655450729
947.0,0.718683031
948.0,0.651599175
949.0,0.767353487
950.0,0.651637378
951.0,0.789768676
952.0,0.681827569
953.0,0.710055077
954.0,0.751902072
955.0,0.746087453
956.0,0.717898908
957.0,0.732511486
958.0,0.798684260
959.0,0.745200637
960.0,0.757869378
961.0,0.808481996
962.0,0.808505084
963.0,0.802690376
964.0,0.824118889
965.0,0.840683504
966.0,0.847518599
967.0,0.831000389
968.0,0.919575546
969.0,0.913762689
970.0,0.916707806
971.0,0.924518923
972.0,0.910919913
973.0,0.897320090
974.0,0.886639235
975.0,0.869144729
976.0,0.869168842
977.0,0.906179838
978.0,0.909124977
979.0,0.903309680
980.0,0.906254799
981.0,0.937430008
982.0,0.940376121
983.0,0.932613832
984.0,0.955030418
985.0,0.944347338
986.0,0.958976714
987.0,0.959002729
988.0,0.959028692
989.0,0.962949242
990.0,0.960054149
991.0,0.963001119
992.0,0.964000718
993.0,0.962079026
994.0,0.965026130
995.0,0.965051889
996.0,0.965077598
997.0,0.965103255
998.0,0.965128862
999.0,0.965154419
1000.0,0.965179925
1001.0,0.965205380
1002.0,0.961334799
1003.0,0.965256141
1004.0,0.965281447
1005.0,0.965306703
1006.0,0.965331909
1007.0,0.966331190
1008.0,0.965382174
1009.0,0.963458883
1010.0,0.963483842
1011.0,0.966431428
1012.0,0.965482115
1013.0,0.966481254
1014.0,0.966506094
1015.0,0.966530886
1016.0,0.966555630
1017.0,0.966580326
1018.0,0.966604974
1019.0,0.965655149
1020.0,0.966654126
1021.0,0.966678631
1022.0,0.966703089
1023.0,0.965752976
1024.0,0.964802766
1025.0,0.966776179
1026.0,0.966800449
1027.0,0.966824672
1028.0,0.966848848
1029.0,0.966872979
1030.0,0.967871757
1031.0,0.967895819
1032.0,0.967919835
1033.0,0.967943805
1034.0,0.967967729
1035.0,0.967991608
1036.0,0.968015441
1037.0,0.968039229
1038.0,0.968062971
1039.0,0.968086669
1040.0,0.968110321
1041.0,0.968133928
1042.0,0.968157491
1043.0,0.968181009
1044.0,0.968204483
1045.0,0.967252859
1046.0,0.967276221
1047.0,0.967299538
1048.0,0.967322812
1049.0,0.966370894
1050.0,0.966394057
1051.0,0.966417176
1052.0,0.966440252
1053.0,0.965488044
1054.0,0.965511010
1055.0,0.964558646
1056.0,0.963606193
1057.0,0.962653651
1058.0,0.961701021
1059.0,0.961723682
1060.0,0.960770898
1061.0,0.959818026
1062.0,0.959840515
1063.0,0.958887491
1064.0,0.957934380
1065.0,0.957956697
1066.0,0.957978974
1067.0,0.958001209
1068.0,0.958023404
1069.0,0.959996770
1070.0,0.960994556
1071.0,0.962967998
1072.0,0.962990141
1073.0,0.963987939
1074.0,0.964985742
1075.0,0.963056326
1076.0,0.966981359
1077.0,0.964076032
1078.0,0.963122147
1079.0,0.967047326
1080.0,0.963165827
1081.0,0.961235859
1082.0,0.964185243
1083.0,0.962255130
1084.0,0.961300829
1085.0,0.963274331
1086.0,0.947680174
1087.0,0.955509412
1088.0,0.967243070
1089.0,0.958480180
1090.0,0.953621144
1091.0,0.958522777
1092.0,0.951711218
1093.0,0.945875455
1094.0,0.955657911
1095.0,0.946893364
1096.0,0.941056992
1097.0,0.955720980
1098.0,0.941098282
1099.0,0.929403699
1100.0,0.000000002
1101.0,0.000000000
1102.0,0.000000000
1103.0,0.000000000
1104.0,0.000000000
1105.0,0.000000000
1106.0,0.000000000
1107.0,0.000000000
1108.0,0.000000000
1109.0,0.000000000
1110.0,0.000000000
1111.0,0.000000000
1112.0,0.000000000
1113.0,0.000000000
1114.0,0.000000000
1115.0,0.000000000
1116.0,0.000000000
1117.0,0.000000000
1118.0,0.000000000
1119.0,0.000000000
1120.0,0.000000000
1121.0,0.000000000
1122.0,0.000000000
1123.0,0.000000000
1124.0,0.000000000
1125.0,0.000000000
1126.0,0.000000000
1127.0,0.000000000
1128.0,0.000000000
1129.0,0.000000000
1130.0,0.000000000
1131.0,0.000000000
1132.0,0.000000000
1133.0,0.000000000
1134.0,0.000000000
1135.0,0.000000000
1136.0,0.000000000
1137.0,0.000000000
1138.0,0.000000000
1139.0,0.000000000
1140.0,0.000000000
1141.0,0.000000000
1142.0,0.000000000
1143.0,0.000000000
1144.0,0.000000000
1145.0,0.000000000
1146.0,0.000000000
1147.0,0.000000000
1148.0,0.000000000
1149.0,0.000000000
1150.0,0.000000000
