# Vega (Alpha Lyrae), CALSPEC alpha_lyr_stis_012.fits
# Source: https://archive.stsci.edu/hlsps/reference-atlases/cdbs/current_calspec/alpha_lyr_stis_012.fits
# wavelength_nm,flux_W_m-2_nm-1
164.180005,7.170458005e-11
164.300000,7.217070053e-11
164.409998,7.186070849e-11
164.530005,7.323603057e-11
164.650000,7.382054523e-11
164.769995,7.297529248e-11
164.890002,7.233997845e-11
165.000000,7.141355507e-11
165.119995,6.936550445e-11
165.240002,6.677909337e-11
165.359998,6.403603425e-11
165.480005,5.851055196e-11
165.590002,5.487106769e-11
165.709998,5.657686764e-11
165.830005,5.954200688e-11
165.950000,6.376407402e-11
166.069995,6.445743939e-11
166.180005,6.452972379e-11
166.300000,6.557586918e-11
166.419995,7.117509693e-11
166.540002,7.049488548e-11
166.659998,6.804722563e-11
166.769995,6.698338773e-11
166.890002,6.658713136e-11
167.009998,6.503503069e-11
167.130005,6.549201625e-11
167.250000,6.630097360e-11
167.359998,6.536301278e-11
167.480005,6.683891218e-11
167.588159,6.977900036e-11
167.725256,7.076800035e-11
167.862366,7.010399816e-11
167.999475,7.081899955e-11
168.136584,7.171800043e-11
168.273694,7.133099889e-11
168.410803,7.039500094e-11
168.547913,6.856899937e-11
168.685022,6.818900111e-11
168.822144,6.911200057e-11
168.959253,6.897900029e-11
169.096374,6.819199871e-11
169.233496,6.775700001e-11
169.370618,6.708699818e-11
169.507739,6.631399874e-11
169.644861,6.566899913e-11
169.781982,6.681200038e-11
169.919116,6.727300050e-11
170.056238,6.646499795e-11
170.193372,6.568800170e-11
170.330505,6.588800172e-11
170.467627,6.626000193e-11
170.604761,6.541399866e-11
170.741907,6.448800161e-11
170.879041,6.514199846e-11
171.016174,6.591799995e-11
171.153320,6.594699897e-11
171.290454,6.600100022e-11
171.427600,6.590600066e-11
171.564746,6.657800089e-11
171.701892,6.582499879e-11
171.839038,6.417899989e-11
171.976184,6.271299924e-11
172.113330,6.379699879e-11
172.250488,6.466899904e-11
172.387634,6.314199830e-11
172.524792,6.197800051e-11
172.661938,6.481700066e-11
172.799097,6.670600072e-11
172.936255,6.647599804e-11
173.073413,6.461200019e-11
173.210571,6.419599963e-11
173.347742,6.409199838e-11
173.484900,6.473099834e-11
173.622070,6.496499783e-11
173.759229,6.532999919e-11
173.896399,6.684000020e-11
174.033569,6.562300037e-11
174.170740,6.434099920e-11
174.307910,6.456499779e-11
174.445081,6.414099918e-11
174.582251,6.402899988e-11
174.719434,6.418599874e-11
174.856604,6.479099923e-11
174.993787,6.527800078e-11
175.130957,6.530400221e-11
175.268140,6.641399874e-11
175.405322,6.793699825e-11
175.542505,6.890700011e-11
175.679688,6.798800190e-11
175.816882,6.654799822e-11
175.954065,6.384900164e-11
176.091248,6.285600040e-11
176.228442,6.314599954e-11
176.365637,6.243099815e-11
176.502832,6.247100170e-11
176.640015,6.367899985e-11
176.777209,6.417399945e-11
176.914404,6.453699797e-11
177.051611,6.487100190e-11
177.188806,6.487399951e-11
177.326001,6.538900088e-11
177.463208,6.537800079e-11
177.600415,6.615500148e-11
177.737610,6.692100207e-11
177.874817,6.747700176e-11
178.012024,6.687900012e-11
178.149231,6.578699807e-11
178.286438,6.569300215e-11
178.423657,6.448300116e-11
178.560864,6.342300019e-11
178.698071,6.342599779e-11
178.835290,6.507899997e-11
178.972510,6.733900104e-11
179.109717,6.860100044e-11
179.246936,6.867499902e-11
179.384155,6.884400161e-11
179.521375,6.888400073e-11
179.658594,6.764699911e-11
179.795825,6.746600167e-11
179.933044,6.835500166e-11
180.070264,6.895000126e-11
180.207495,6.832900024e-11
180.344727,6.710000111e-11
180.481946,6.637700167e-11
180.619177,6.494300209e-11
180.756409,6.330799884e-11
180.893640,6.456100099e-11
181.030872,6.637200123e-11
181.168115,6.677499886e-11
181.305347,6.633900096e-11
181.442578,6.507999917e-11
181.579822,6.423499954e-11
181.717053,6.363499949e-11
181.854297,6.421100096e-11
181.991540,6.361999816e-11
182.128784,6.393599872e-11
182.266028,6.431700061e-11
182.403272,6.415500131e-11
182.540515,6.323499946e-11
182.677759,6.257700136e-11
182.815015,6.267100172e-11
182.952258,6.248499940e-11
183.089514,6.105199901e-11
183.226770,6.117999884e-11
183.364014,6.263300101e-11
183.501269,6.296000166e-11
183.638525,6.321700052e-11
183.775781,6.278999987e-11
183.913037,6.119900142e-11
184.050293,5.941999781e-11
184.187561,5.837299977e-11
184.324817,5.949199799e-11
184.462085,5.968099792e-11
184.599341,5.890299803e-11
184.736609,5.894300159e-11
184.873877,6.086199988e-11
185.011145,6.159500021e-11
185.148401,6.030000055e-11
